Year	Lake	Order	Common_name	HALL-01	HALL-04	HALL-05	HALL-06-R1	HALL-06-R2	HALL-08-R1	HALL-08-R2	HALL-09-R1	HALL-09-R2	HALL-10-R1	HALL-10-R2	HALL-15-R1	HALL-15-R2	HALL-17-R1	HALL-17-R2	HALL-19-R1	HALL-19-R2
2023	Halls	Trichoptera	Caddisflies	NA	NA	NA	5	0	1	15	1	4	5	8	NA	NA	4	4	3	1
2023	Halls	Lepidoptera	Aquatic_moths	NA	NA	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0
2023	Halls	Coleoptera	Beetles	NA	NA	NA	0	0	0	4	0	0	0	0	NA	NA	0	0	0	0
2023	Halls	Gastropoda	Snails_limpets	NA	NA	NA	0	0	0	0	0	0	0	0	NA	NA	1	1	2	2
2023	Halls	Chironomidae	Midges	NA	NA	NA	5	0	1	1	0	3	4	1	NA	NA	1	2	0	0
2023	Halls	Tabanidae	Horse_deer_flies	NA	NA	NA	0	0	13	1	0	0	0	0	NA	NA	1	1	0	0
2023	Halls	Culicidae	Mosquitos	NA	NA	NA	1	0	0	0	1	0	0	0	NA	NA	0	0	1	0
2023	Halls	Ceratopogonidae	Noseeums	NA	NA	NA	0	0	0	15	0	0	0	0	NA	NA	0	0	0	0
2023	Halls	Tipulidae	Crane_flies	NA	NA	NA	0	0	0	0	1	0	0	0	NA	NA	0	0	0	0
2023	Halls	Simuliidae	Blackflies	NA	NA	NA	0	0	0	1	1	0	0	0	NA	NA	0	0	0	0
2023	Halls	Diptera_misc	Misc_true_flies	NA	NA	NA	0	0	0	0	0	0	0	1	NA	NA	1	0	0	0
2021	Halls	Coelenterata	Hydras	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2021	Halls	Turbellaria	Flatworms	0	0	15	1	2	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA
2021	Halls	Nematoda	Roundworms	2	0	0	4	1	0	0	0	0	4	9	NA	NA	NA	NA	NA	NA
2021	Halls	Oligochaeta	Aquatic_earthworms	10	3	10	3	7	2	1	2	5	66	45	NA	NA	NA	NA	NA	NA
2021	Halls	Hirudinea	Leeches	1	0	0	0	0	1	1	3	6	0	0	NA	NA	NA	NA	NA	NA
2021	Halls	Isopoda	Sow_bugs	0	0	0	14	0	12	9	0	0	0	0	NA	NA	NA	NA	NA	NA
2021	Halls	Bivalvia	Clams_mussels	1	0	0	0	6	0	0	0	1	2	1	NA	NA	NA	NA	NA	NA
2021	Halls	Amphipoda	Scuds	0	0	1	40	26	74	85	66	64	1	3	NA	NA	NA	NA	NA	NA
2021	Halls	Decapoda	Crayfish	1	0	1	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
2021	Halls	Hydrachnida	Mites	1	0	5	0	5	1	0	2	1	4	13	NA	NA	NA	NA	NA	NA
2021	Halls	Ephemeroptera	Mayflies	0	22	0	28	12	6	1	5	19	1	2	NA	NA	NA	NA	NA	NA
2021	Halls	Anisoptera	Dragonflies	1	0	0	0	3	0	2	6	1	2	4	NA	NA	NA	NA	NA	NA
2021	Halls	Zygoptera	Damselflies	0	1	0	3	4	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA
2021	Halls	Plecoptera	Stoneflies	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
2021	Halls	Hemiptera	True_bugs	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2021	Halls	Megaloptera	Fishflies_alderflies	0	0	0	2	1	0	1	4	1	2	2	NA	NA	NA	NA	NA	NA
2021	Halls	Trichoptera	Caddisflies	0	0	1	0	3	1	4	5	5	4	9	NA	NA	NA	NA	NA	NA
2021	Halls	Lepidoptera	Aquatic_moths	1	0	0	0	0	1	0	0	0	0	3	NA	NA	NA	NA	NA	NA
2021	Halls	Coleoptera	Beetles	0	0	0	0	0	2	1	1	0	0	3	NA	NA	NA	NA	NA	NA
2021	Halls	Gastropoda	Snails_limpets	2	2	27	1	27	0	0	1	0	12	4	NA	NA	NA	NA	NA	NA
2021	Halls	Chironomidae	Midges	0	0	0	5	2	1	1	7	13	4	5	NA	NA	NA	NA	NA	NA
2021	Halls	Tabanidae	Horse_deer_flies	0	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2021	Halls	Culicidae	Mosquitos	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2021	Halls	Ceratopogonidae	Noseeums	0	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2021	Halls	Tipulidae	Crane_flies	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2021	Halls	Simuliidae	Blackflies	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2021	Halls	Diptera_misc	Misc_true_flies	0	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2020	Halls	Coelenterata	Hydras	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	Halls	Turbellaria	Flatworms	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	Halls	Nematoda	Roundworms	NA	NA	NA	0	0	0	0	1	1	0	0	0	6	1	0	0	1
2020	Halls	Oligochaeta	Aquatic_earthworms	NA	NA	NA	2	2	1	4	4	1	21	32	7	3	0	1	0	3
2020	Halls	Hirudinea	Leeches	NA	NA	NA	0	0	1	1	4	0	0	1	0	1	0	0	1	1
2020	Halls	Isopoda	Sow_bugs	NA	NA	NA	11	59	62	39	0	0	15	30	2	6	7	60	6	9
2020	Halls	Bivalvia	Clams_mussels	NA	NA	NA	0	0	0	0	1	3	2	0	2	1	0	1	0	0
2020	Halls	Amphipoda	Scuds	NA	NA	NA	24	27	26	40	66	83	32	12	23	21	66	32	37	34
2020	Halls	Decapoda	Crayfish	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	Halls	Hydrachnida	Mites	NA	NA	NA	0	4	3	0	0	3	3	5	2	18	2	1	0	0
2020	Halls	Ephemeroptera	Mayflies	NA	NA	NA	0	2	1	0	10	2	1	0	0	2	1	6	0	1
2020	Halls	Anisoptera	Dragonflies	NA	NA	NA	0	0	1	0	3	1	0	0	0	5	0	1	2	3
2020	Halls	Zygoptera	Damselflies	NA	NA	NA	0	3	0	0	0	0	0	0	0	0	0	1	0	0
2020	Halls	Plecoptera	Stoneflies	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	Halls	Hemiptera	True_bugs	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	Halls	Megaloptera	Fishflies_alderflies	NA	NA	NA	0	0	0	0	0	2	0	0	0	0	0	0	0	0
2020	Halls	Trichoptera	Caddisflies	NA	NA	NA	1	2	0	1	7	1	12	3	2	3	1	2	7	7
2020	Halls	Lepidoptera	Aquatic_moths	NA	NA	NA	1	0	0	0	0	0	0	1	0	0	0	0	0	0
2020	Halls	Coleoptera	Beetles	NA	NA	NA	25	0	0	0	0	0	0	0	0	0	1	0	0	0
2020	Halls	Gastropoda	Snails_limpets	NA	NA	NA	0	0	4	1	1	0	1	0	0	3	3	1	0	0
2020	Halls	Chironomidae	Midges	NA	NA	NA	0	6	11	6	3	4	9	4	59	35	21	10	47	42
2020	Halls	Tabanidae	Horse_deer_flies	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	Halls	Culicidae	Mosquitos	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	Halls	Ceratopogonidae	Noseeums	NA	NA	NA	0	0	1	0	0	0	0	0	0	1	0	0	0	0
2020	Halls	Tipulidae	Crane_flies	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	Halls	Simuliidae	Blackflies	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	Halls	Diptera_misc	Misc_true_flies	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
